0.02 -10 1.1927 11.7209 31.5201 31.5537 0.2
0.02 -9 0.98557 10.5182 31.6566 31.6802 0.65
0.02 -8 0.95199 13.0207 31.3249 31.3369 0.45
0.02 -7 0.76113 13.4395 31.4606 31.4725 0.05
0.02 -6 0.59533 11.7397 31.5979 31.6125 0.35
0.02 -5 0.41393 9.9984 31.5989 31.6077 0.4
0.02 -4 0.36141 11.9124 31.4103 31.4158 0.1
0.02 -3 -0.93902 14.3352 31.9877 31.9872 4.4
0.02 -2 -1.0615 13.3351 31.6635 31.6627 1.25
0.02 -1 -0.88203 14.3003 31.3471 31.3468 0.25
0.02 0 -0.94853 11.641 31.0378 31.8944 2.45
0.03 -50 7.0231 8.4681 31.8535 31.8604 0.4
0.03 -49 6.7336 7.1679 31.8676 31.8695 0.45
0.03 -48 6.5446 5.8473 31.9112 31.9203 0.7
0.03 -47 6.4342 6.6257 31.7856 31.7853 0.25
0.03 -46 6.2784 7.3799 31.8495 31.8489 0.35
0.03 -45 6.0729 5.181 31.9257 31.9291 0.85
0.03 -44 5.9255 5.8961 31.9086 31.9067 0.65
0.03 -43 5.8144 6.5359 31.7646 31.766 0.25
0.03 -42 5.7215 8.185 31.7713 31.7705 0.25
0.03 -41 5.5544 7.7146 31.8481 31.8569 0.35
0.03 -40 5.4582 8.1326 31.7479 31.7521 0.2
0.03 -39 5.2667 5.8825 31.7824 31.7894 0.25
0.03 -38 5.0928 8.3271 31.8989 31.9021 0.5
0.03 -37 4.9548 7.1277 31.8082 31.8077 0.3
0.03 -36 4.8152 6.4088 31.8051 31.8104 0.3
0.03 -35 4.6749 6.502 31.8154 31.8213 0.3
0.03 -34 4.5054 7.7332 31.8535 31.8601 0.4
0.03 -33 4.3219 6.5378 31.8404 31.8425 0.35
0.03 -32 4.214 8.6407 31.7907 31.7902 0.3
0.03 -31 4.0701 9.2465 31.8511 31.858 0.4
0.03 -30 3.9584 9.0366 31.8332 31.837 0.35
0.03 -29 3.8161 6.1669 31.767 31.771 0.25
0.03 -28 3.7985 10.8501 31.5825 31.5836 0.15
0.03 -27 3.4862 9.2298 31.8631 31.8631 0.4
0.03 -26 3.3101 7.5782 31.9361 31.9433 1
0.03 -25 3.2511 10.7491 31.7103 31.7156 0.1
0.03 -24 3.0933 8.5051 31.8497 31.8535 0.35
0.03 -23 2.8869 8.0373 31.8508 31.8537 0.35
0.03 -22 2.8947 12.3475 31.6016 31.6172 0.1
0.03 -21 2.6783 8.4573 31.7604 31.7662 0.25
0.03 -20 2.4589 8.0331 31.9011 31.9078 0.6
0.03 -19 2.3757 7.2016 31.7931 31.7941 0.3
0.03 -18 2.199 7.963 31.8069 31.8082 0.3
